net_name,type,fanout
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[42],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[43],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[44],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[45],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[46],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[47],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[48],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[49],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[50],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[51],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[52],reset,0
